5,100
24,100
27,100
30,97
33,96
41,96
42,95
48,95
70,95
71,95
73,93
75,88
75,86
78,86
81,86
84,86
87,86
98,83
110,83
125,78
134,79
136,76
139,72
139,72
149,72
153,71
163,71
189,72
198,73
200,73
202,73
208,73
209,73
219,69
226,64
229,59
235,59
236,59
238,57
254,58
257,58
260,58
260,58
271,54
279,54
282,54
293,55
293,50
294,50
304,50
306,50
307,50
309,50
311,50
313,50
314,50
333,50
335,50
349,51
356,51
360,47
361,47
361,47
379,48
391,49
393,49
398,47
399,47
405,48
413,48
422,45
422,45
426,45
427,43
427,42
428,42
435,38
436,38
438,38
453,39
475,36
506,38
526,39
530,39
532,37
537,37
542,37
555,38
564,38
566,38
568,39
569,39
570,39
598,38
623,34
635,34
637,34
656,35
656,35
662,33
671,29
673,29
674,29
675,29
680,29
681,29
687,24
690,24
725,25
740,25
742,21
744,21
752,21
757,21
758,21
762,21
765,21
767,20
774,20
779,20
