5,50
24,47
27,47
30,47
33,47
41,43
42,43
48,43
70,43
71,43
73,43
75,43
75,43
78,43
81,43
84,44
87,44
98,44
110,44
125,45
134,40
136,40
139,40
139,40
149,37
153,37
163,37
189,38
198,39
200,34
202,34
208,29
209,29
219,30
226,30
229,30
235,30
236,30
238,30
254,31
257,27
260,27
260,27
271,28
279,28
282,23
293,24
293,24
294,24
304,24
306,25
307,20
309,20
311,20
313,15
314,15
333,16
335,15
349,16
356,16
360,16
361,12
361,12
379,8
391,9
393,6
398,6
399,3
405,1
413,1
422,2
422,2
426,2
427,2
427,2
428,2
435,3
436,3
438,0
453,1
475,2
506,4
526,1
530,0
532,0
537,1
542,1
555,1
564,2
566,2
568,2
569,2
570,2
598,4
623,5
635,5
637,5
656,5
656,5
662,5
671,5
673,5
674,5
675,5
680,1
681,1
687,1
690,1
725,2
740,2
742,2
744,2
752,2
757,2
758,2
762,2
765,2
767,2
774,2
779,2
