5,100
24,100
27,100
30,100
33,100
41,100
42,100
48,95
70,90
71,90
73,90
75,90
75,90
78,86
81,83
84,80
87,77
98,77
110,76
125,76
134,76
136,76
139,76
139,71
149,72
153,72
163,67
189,68
198,65
200,65
202,65
208,66
209,66
219,66
226,66
229,66
235,67
236,63
238,63
254,63
257,63
260,59
260,55
271,55
279,56
282,56
293,53
293,53
294,49
304,50
306,49
307,49
309,47
311,47
313,47
314,43
333,44
335,44
349,45
356,45
360,45
361,45
361,45
379,46
391,46
393,46
398,46
399,46
405,47
413,43
422,43
422,43
426,44
427,44
427,44
428,44
435,44
436,42
438,42
453,38
475,39
506,39
526,40
530,40
532,40
537,40
542,40
555,40
564,38
566,38
568,38
569,38
570,37
598,38
623,39
635,36
637,31
656,32
656,32
662,32
671,32
673,32
674,31
675,31
680,31
681,31
687,32
690,32
725,31
740,29
742,29
744,25
752,20
757,20
758,20
762,20
765,19
767,19
774,19
779,20
