5,5
24,5
27,2
30,2
33,2
41,2
42,2
48,2
70,2
71,0
73,0
75,0
75,0
78,0
81,0
84,0
87,0
98,1
110,1
125,1
134,2
136,2
139,2
139,2
149,2
153,2
163,3
189,3
198,3
200,3
202,2
208,3
209,1
219,1
226,1
229,2
235,2
236,2
238,2
254,3
257,3
260,3
260,3
271,4
279,1
282,1
293,2
293,2
294,2
304,2
306,2
307,2
309,3
311,0
313,0
314,0
333,1
335,1
349,0
356,0
360,0
361,0
361,0
379,1
391,2
393,2
398,2
399,2
405,3
413,3
422,4
422,4
426,3
427,3
427,3
428,0
435,0
436,0
438,1
453,1
475,3
506,4
526,5
530,5
532,5
537,6
542,6
555,7
564,7
566,6
568,6
569,6
570,6
598,7
623,8
635,9
637,9
656,9
656,6
662,7
671,7
673,5
674,5
675,0
680,0
681,0
687,0
690,0
725,1
740,1
742,1
744,1
752,1
757,1
758,1
762,1
765,1
767,1
774,1
779,1
